"sigma1","iota1","sigma2","iota2","sigma3","iota3"
0.53,0.05,0.874711431702997,0.750980762113533,0.0952885682970026,0.699019237886467
0.54,0.05,0.869711431702997,0.759641016151378,0.0902885682970026,0.690358983848622
0.55,0.05,0.864711431702997,0.768301270189222,0.0852885682970026,0.681698729810778
0.56,0.05,0.859711431702997,0.776961524227066,0.0802885682970026,0.673038475772934
0.57,0.05,0.854711431702997,0.785621778264911,0.0752885682970026,0.664378221735089
0.58,0.05,0.849711431702997,0.794282032302755,0.0702885682970026,0.655717967697245
0.59,0.05,0.844711431702997,0.802942286340599,0.0652885682970026,0.647057713659401
0.6,0.05,0.839711431702997,0.811602540378444,0.0602885682970026,0.638397459621556
0.61,0.05,0.834711431702997,0.820262794416288,0.0552885682970026,0.629737205583712
0.62,0.05,0.829711431702997,0.828923048454133,0.0502885682970026,0.621076951545867
0.63,0.05,0.824711431702997,0.837583302491977,0.0452885682970026,0.612416697508023
0.64,0.05,0.819711431702997,0.846243556529821,0.0402885682970026,0.603756443470179
0.65,0.05,0.814711431702997,0.854903810567666,0.0352885682970026,0.595096189432334
0.66,0.05,0.809711431702997,0.86356406460551,0.0302885682970026,0.58643593539449
0.67,0.05,0.804711431702997,0.872224318643355,0.0252885682970026,0.577775681356645
0.68,0.05,0.799711431702997,0.880884572681199,0.0202885682970026,0.569115427318801
0.69,0.05,0.794711431702997,0.889544826719043,0.0152885682970026,0.560455173280957
0.7,0.05,0.789711431702997,0.898205080756888,0.0102885682970026,0.551794919243112
0.71,0.05,0.784711431702997,0.906865334794732,0.00528856829700264,0.543134665205268
0.72,0.05,0.779711431702997,0.915525588832577,0.000288568297002634,0.534474411167424
0.27,0.06,0.996051177665153,0.520814157129579,0.233948822334847,0.919185842870421
0.28,0.06,0.991051177665153,0.529474411167424,0.228948822334847,0.910525588832577
0.29,0.06,0.986051177665153,0.538134665205268,0.223948822334847,0.901865334794732
0.3,0.06,0.981051177665153,0.546794919243112,0.218948822334847,0.893205080756888
0.31,0.06,0.976051177665153,0.555455173280957,0.213948822334847,0.884544826719043
0.32,0.06,0.971051177665153,0.564115427318801,0.208948822334847,0.875884572681199
0.33,0.06,0.966051177665153,0.572775681356645,0.203948822334847,0.867224318643355
0.34,0.06,0.961051177665153,0.58143593539449,0.198948822334847,0.85856406460551
0.35,0.06,0.956051177665153,0.590096189432334,0.193948822334847,0.849903810567666
0.36,0.06,0.951051177665153,0.598756443470179,0.188948822334847,0.841243556529821
0.37,0.06,0.946051177665153,0.607416697508023,0.183948822334847,0.832583302491977
0.38,0.06,0.941051177665153,0.616076951545867,0.178948822334847,0.823923048454133
0.39,0.06,0.936051177665153,0.624737205583712,0.173948822334847,0.815262794416288
0.4,0.06,0.931051177665153,0.633397459621556,0.168948822334847,0.806602540378444
0.41,0.06,0.926051177665153,0.642057713659401,0.163948822334847,0.797942286340599
0.42,0.06,0.921051177665153,0.650717967697245,0.158948822334847,0.789282032302755
0.43,0.06,0.916051177665153,0.659378221735089,0.153948822334847,0.780621778264911
0.44,0.06,0.911051177665153,0.668038475772934,0.148948822334847,0.771961524227066
0.45,0.06,0.906051177665153,0.676698729810778,0.143948822334847,0.763301270189222
0.46,0.06,0.901051177665153,0.685358983848622,0.138948822334847,0.754641016151377
0.47,0.06,0.896051177665153,0.694019237886467,0.133948822334847,0.745980762113533
0.48,0.06,0.891051177665153,0.702679491924311,0.128948822334847,0.737320508075689
0.49,0.06,0.886051177665153,0.711339745962156,0.123948822334847,0.728660254037844
0.5,0.06,0.881051177665153,0.72,0.118948822334847,0.72
0.51,0.06,0.876051177665153,0.728660254037844,0.113948822334847,0.711339745962156
0.52,0.06,0.871051177665153,0.737320508075689,0.108948822334847,0.702679491924311
0.53,0.06,0.866051177665153,0.745980762113533,0.103948822334847,0.694019237886467
0.54,0.06,0.861051177665153,0.754641016151378,0.098948822334847,0.685358983848622
0.55,0.06,0.856051177665153,0.763301270189222,0.093948822334847,0.676698729810778
0.56,0.06,0.851051177665153,0.771961524227066,0.088948822334847,0.668038475772934
0.57,0.06,0.846051177665153,0.780621778264911,0.083948822334847,0.659378221735089
0.58,0.06,0.841051177665153,0.789282032302755,0.078948822334847,0.650717967697245
